plot	X	Y	Mitigada2	Mitigada3	Mitigada4	Water2	Water3	Water4
430029	348891	4598780	68.65	85.4	97.19	0.236	0.1636	0.1239
430031	354883	4598728	88.11	86.69	95.57	0.2166	0.0778	0.152
430035	352916	4597805	42.29	52.16	54.01	0.4668	0.0879	0.1993
430037	361874	4596798	7.72	11.33	12.33	0.3531	0.0185	0.0268
430043	337943	4593844	63.03	56.56	66.42	0.0525	0.0182	0.0994
430044	339927	4593768	10.36	10.27	12.29	0.1491	0.0303	0.0858
430049	344899	4590787	50.58	50.49	57.06	0.0696	0.0255	0.1749
430053	336946	4587826	41.42	50.07	53.35	0.0443	0.0256	0.0585
430058	339882	4586777	5.84	8.76	10.06	0.2178	0.0336	0.0355
430059	340839	4586732	6.93	8.53	10.08	0.3746	0.0624	0.1022
430060	342931	4585769	18.44	28.2	27.93	0.5461	0.262	0.3062
430064	332924	4583820	47.47	47.12	51.75	0.2669	0.0484	0.2246
430065	336899	4583825	30.72	38.89	40.14	0.1702	0.0475	0.1624
430066	337898	4583814	77.55	86.07	101.37	0.106	0.0282	0.0731
430068	334898	4582827	63.02	58.62	67.82	0.2486	0.0473	0.1965
430071	337918	4582848	13.95	13.25	12.14	0.4911	0.0989	0.445
430073	342924	4582812	108.28	105.75	77.68	0.3511	0.1088	0.4531
430078	337891	4581802	6.44	10.52	12.77	0.6646	0.1648	0.3513
430081	340903	4581751	106.39	71.03	75.22	0.2465	0.0346	0.3606
430082	341930	4581821	111.56	86.87	109.69	0.176	0.0385	0.1531
430083	342900	4581795	156.55	42.09	62.05	0.1402	0.4399	0.5316
430088	331880	4580823	7.74	9.73	9.77	0.6725	0.3274	0.6078
430091	337910	4580757	183.55	139.58	163.77	0.1269	0.0637	0.2675
430093	339920	4580790	366.3	203.44	320.28	0.0559	0.0184	0.0914
430094	340820	4580786	179.98	118.9	181.72	0.4267	0.0239	0.2031
430097	343913	4580762	35.44	31.33	41.87	0.2406	0.0698	0.121
430101	329947	4579785	124.93	159.13	228.06	0.509	0.2591	0.2132
430102	331904	4579792	244.37	213.45	259.1	0.1373	0.0678	0.1065
430104	334823	4579738	138.39	88.16	143.75	0.0402	0.0237	0.0853
430107	338927	4579814	316.48	173.43	284.43	0.1535	0.0684	0.1543
430108	339866	4579804	19.47	10.65	17.69	0.3719	0.1801	0.2551
430112	344017	4579865	132.57	202.59	204.14	0.4198	0.2349	0.0987
430113	318834	4578809	16.57	22.92	27.39	0.6037	0.2516	0.3199
430114	319901	4578837	140.24	122.41	137.47	0.201	0.0563	0.2332
430118	333942	4578842	111.84	90.05	102.23	0.0602	0.0635	0.1345
430121	338933	4578825	339.14	191.73	315.78	0.4109	0.0579	0.3007
430123	340921	4578823	20.31	27.38	45.71	0.733	0.257	0.2566
430125	342956	4578824	262.14	136.12	191.23	0.2465	0.0577	0.3756
430127	331841	4577830	58.31	59.36	58.55	0.6141	0.311	0.5637
430128	332896	4577837	77.18	73.84	97.56	0.5146	0.2588	0.3284
430129	333897	4577845	353.34	270.16	385.41	0.3153	0.1072	0.2177
430130	334903	4577851	361.22	246.55	362.73	0.1028	0.0493	0.1595
430131	335966	4577794	440.09	314.05	457	0.1949	0.0748	0.1499
430134	338949	4577793	169.8	92.72	158.8	0.1377	0.0729	0.1356
430135	339928	4577802	119.78	70.12	105.38	0.318	0.0579	0.2972
430138	343911	4577792	49	87.57	143.93	0.7024	0.0954	0.1508
430139	350867	4595815	48.56	45.19	49.86	0.0665	0.095	0.0571
430141	352916	4594811	51.46	63.18	125.07	0.6882	0.4519	0.2232
430143	363886	4594842	35.96	52.18	51.91	0.3058	0.0738	0.0767
430145	365895	4594819	16.05	28.76	30.15	0.5238	0.1496	0.1895
