plot	X	Y	ErosIFN2	ErosIFN3	ErosIFN4
80995	384920	4632755	49.81408759	50.45904177	21.63031773
80996	385896	4632793	20.94618832	13.04895525	17.9277435
80997	387905	4632798	90.64846217	104.5967466	95.87296553
81001	392902	4632782	103.1175974	104.1423535	134.9589691
81002	393890	4632788	98.28394026	80.2357679	136.3244042
81003	399905	4632796	58.93160289	70.9813249	106.237828
81004	400906	4632796	33.47326531	25.51506248	49.51510423
81006	404911	4649791	70.10073798	29.25566079	53.20674216
81007	408801	4649846	42.5071943	86.38052181	97.1906835
81008	409898	4649836	40.21479848	11.63640895	33.90228548
81011	412922	4649829	19.4436691	15.05268112	16.07802306
81013	425948	4649788	22.44250508	22.2612449	28.82857028
81016	428839	4649777	44.43121421	42.52266928	50.1122086
81019	403855	4648808	38.61465265	37.85761699	42.89729085
81022	411886	4648821	124.6509543	177.8464387	202.9046187
81023	412871	4648746	23.9577929	21.59636311	30.09808506
81024	413884	4648757	93.44599285	34.57052111	64.97919073
81026	417871	4648804	22.65886426	21.43081492	16.77154511
81027	427877	4648832	44.86465663	42.81929679	49.70531819
81029	401848	4647794	67.76306602	22.86882745	53.93963241
81035	411884	4647778	11.7440531	16.2184099	20.7763223
81036	412922	4647771	55.80570483	42.23163443	54.38855267
81039	416929	4647853	13.10520251	9.220435452	11.28318465
81041	420869	4647793	10.35303939	5.518409299	18.06491194
81043	426876	4647806	15.43455129	6.835216989	12.09941052
81044	428941	4647774	56.54030027	60.47318349	67.98186764
81045	402929	4646837	26.87243852	16.6151183	20.14170593
81050	412829	4646823	100.3230806	90.68466382	123.5143738
81051	413938	4646852	98.86882252	77.48649457	124.7045195
81054	416959	4646818	40.77964725	31.1761794	33.57661887
81058	402887	4645823	85.78603393	44.76629914	82.43421176
81059	403914	4646772	38.18862793	26.5080628	28.8310154
81062	407906	4645807	37.78911212	31.95189013	33.70967189
81063	408929	4645797	141.2540841	142.2294882	146.5829004
81066	411870	4645793	40.38646621	30.88197268	36.980599
81067	412896	4645786	27.14184302	23.4459815	27.91054459
81068	414886	4645810	80.92824439	57.73832164	69.22337648
81073	425912	4645793	18.68562307	27.82186942	33.79310371
81076	401861	4644792	47.99195435	64.10146367	55.43914562
81077	403841	4644774	28.26469261	44.55680309	43.63841865
81081	411868	4644807	51.84015035	20.22777801	42.67966748
81083	414890	4644802	44.36205363	42.64357729	45.68808291
81093	402932	4643755	46.58606196	38.5545093	44.336567
81094	403912	4643774	13.91963561	12.75021061	3.280924138
81095	404883	4643741	73.80601461	58.25032409	61.62218047
81099	409896	4643833	58.05378769	42.40404641	50.08472553
81107	423906	4643787	111.5854225	105.2465636	132.2183158
81110	427893	4643806	73.56644359	52.12034419	72.88381781
81115	408893	4642781	48.22088468	36.02242956	38.77130265
81123	417853	4642777	68.55191321	51.53877043	48.43780792
81125	425868	4642842	42.59540463	32.07605289	51.9695225
81126	426894	4642809	57.33497654	48.28184371	57.47616943
81131	405914	4641795	5.851772376	5.004405353	6.178861809
81135	409881	4641779	124.1707944	91.89053002	112.3963002
81139	415902	4641803	18.379814	22.37402884	18.51844503
81141	422908	4641819	37.08405106	33.89241332	37.97481883
81142	423882	4641814	37.69722878	35.64372499	42.75872087
81143	424923	4641801	62.74669532	58.34260157	72.86176929
81144	425928	4641776	48.08298361	32.74293972	47.40086333
81146	427908	4641812	163.6464238	117.0107203	149.760161
81147	401879	4640836	21.46975059	13.27549778	17.87428761
81152	408893	4640801	35.92412146	34.61221651	35.67363645
81154	412958	4640812	17.26116295	13.77712353	16.92043229
81158	418891	4640813	77.32752329	64.9055907	60.94532114
81159	421888	4640764	67.40757716	54.16313723	62.01362219
81160	422909	4640768	17.3112574	13.38880388	18.22951386
81163	426890	4640827	32.81552456	23.95367939	42.5702139
81165	428898	4640798	177.154316	149.9659092	190.2588588
81166	402855	4639803	40.52089283	44.98445384	49.84270793
81168	408902	4639802	15.9833441	9.564761737	9.589577872
81171	414862	4639799	42.19917402	45.7606954	48.6131671
81172	418877	4639799	60.8319164	51.11152773	40.93729958
81176	425918	4639824	93.25974913	99.9394186	157.9219814
81178	428906	4639835	127.7271755	151.6586415	183.0242263
81179	402926	4638779	11.14459207	6.021281158	8.436526774
81183	413873	4638806	18.30264313	22.27204414	20.5186857
81186	417919	4638765	29.06592788	24.70012661	37.95163506
81190	423855	4638774	10.26686491	9.539755934	9.502711417
81191	428924	4638718	74.34891646	71.71561124	94.22935693
81192	402972	4637848	78.29225182	53.29208037	62.88943833
81194	409904	4637829	32.79826617	49.52493935	51.1027747
81196	417875	4637754	77.44816757	54.75061818	86.83430437
81198	424933	4637782	41.14796941	50.22223535	58.24910546
81199	426892	4637814	21.37334065	38.64516533	39.28072265
81200	428936	4637784	114.1603314	114.4476477	124.5425912
81206	417886	4636785	94.55140054	83.84800617	105.1748769
81209	422904	4636792	28.22742734	33.50567664	40.32395486
81210	424940	4636795	29.5493649	28.88282773	32.20747883
81214	403864	4635829	42.6271159	33.83169227	37.50996108
81217	410885	4635736	46.63907602	48.0269632	44.12288982
81218	410914	4634768	28.24881026	30.00326338	38.28828996
81220	412892	4635788	23.14827018	17.92012972	19.01834645
81222	415886	4635740	27.63972745	26.18823465	37.13988007
81225	420921	4635787	52.68527204	54.36828384	60.60324343
81228	424880	4635808	66.52603768	135.1528557	156.9707575
81230	428928	4635794	88.88087474	85.53853116	101.1081329
81233	403906	4634796	22.49582301	18.49101073	25.89317171
81235	408897	4634810	99.45979014	99.98413594	104.8797697
