ID	PLOTS	X	Y	SetasIFN2	SetasIFN3	SetasIFN4	MaderaIFN23	MaderaIFN34	AguaIFN2	AguaIFN4	CarbonoIFN2	CarbonoIFN4
2770	253334	334804	4682765	23.686	22.41823196	13.603	4.403	4.283	0.108	0.135	1.695	1.393
2125	253335	387882	4661789	33.005	53.51355763	45.83	3.766	5.077	0.663	0.448	1.634	1.487
2062	253336	386910	4659810	9.411	21.82751955	24.666	0.791	1.163	0.738	0.404	0.402	0.533
1098	253341	382918	4626793	37.092	NA	2.778	0	0	0.2	0.419	-2.859	0.183
562	253347	342947	4593745	NA	NA	NA	1.566	0.65	0.317	0.121	0.855	0.388
670	430001	368012	4603938	NA	NA	NA	0	1.759	0.411	0.145	-1.601	1.139
659	430003	356871	4602809	22.514	17.15503581	13.723	3.631	2.116	0.154	0.109	1.304	-0.306
641	430009	351896	4601790	13.968	9.963567127	9.269	2.537	1.455	0.139	0.042	0.873	-0.848
636	430012	359797	4601729	33.662	28.72206965	26.796	1.667	1.585	0.3	0.128	0.57	0.401
643	430014	365876	4601798	22.263	21.49462787	23.529	1.291	1.291	0.376	0.272	0.42	0.638
635	430021	366934	4600906	8.487	21.69147783	18.527	1.17	1.301	0.607	0.165	0.468	0.475
624	430025	358906	4599765	NA	NA	NA	1.272	1.152	0.572	0.253	0.496	0.71
623	430026	362874	4599757	NA	NA	NA	1.257	1.435	0.254	0.053	0.684	0.882
611	430029	348891	4598780	26.943	19.91037817	23.8	1.156	0.669	0.236	0.124	-0.189	0.252
609	430031	354883	4598728	NA	NA	NA	1.287	1.706	0.217	0.152	0.622	0.712
608	430035	352916	4597805	18.626	17.9275631	19.037	2.85	4.321	0.467	0.199	1.343	1.712
599	430037	361874	4596798	NA	NA	NA	6.575	9.149	0.353	0.027	3.014	4.225
568	430043	337943	4593844	21.731	12.79382665	10.673	6.79	1.045	0.053	0.099	2.859	-0.455
